Sample_name_simple,Sample_name,Sample_number,Sound_number,mass_ini,mass_0,mass_n,mass_end,f1_ini,a1_ini,f1_0,a1_0,f1_n,a1_n,f1_end,a1_end
L_pl_a_1,S1,1,1,3458.07,3481.07,3481.78,3460.54,2748,0.3712,2590,0.7269,2499.75603,1.017641,2664.80616,0.637452
L_pl_a_2,S1,1,2,3458.07,3481.07,3481.78,3460.54,2748,0.3712,2590,0.7269,2499.75603,1.017641,2664.80616,0.637452
L_pl_a_3,S1,1,3,3458.07,3481.07,3481.78,3460.54,2748,0.3712,2590,0.7269,2499.75603,1.017641,2664.80616,0.637452
L_pl_a_4,S1,1,4,3458.07,3481.07,3481.78,3460.54,2748,0.3712,2590,0.7269,2499.75603,1.017641,2664.80616,0.637452
L_pl_a_5,S1,1,5,3458.07,3481.07,3481.78,3460.54,2748,0.3712,2590,0.7269,2499.75603,1.017641,2664.80616,0.637452
L_pl_a_6,S1,1,6,3458.07,3481.07,3481.78,3460.54,2748,0.3712,2590,0.7269,2499.75603,1.017641,2664.80616,0.637452
L_pl_a_7,S1,1,7,3458.07,3481.07,3481.78,3460.54,2748,0.3712,2590,0.7269,2499.75603,1.017641,2664.80616,0.637452
L_pl_a_8,S1,1,8,3458.07,3481.07,3481.78,3460.54,2748,0.3712,2590,0.7269,2499.75603,1.017641,2664.80616,0.637452
L_pl_a_9,S1,1,9,3458.07,3481.07,3481.78,3460.54,2748,0.3712,2590,0.7269,2499.75603,1.017641,2664.80616,0.637452
L_pl_b_1,S2,2,1,2089.95,2100.36,2100.97,2089.97,3289,0.4162,3165,0.5363,3116.337161,0.565948,3225.219827,0.41985
L_pl_b_2,S2,2,2,2089.95,2100.36,2100.97,2089.97,3289,0.4162,3165,0.5363,3116.337161,0.565948,3225.219827,0.41985
L_pl_b_3,S2,2,3,2089.95,2100.36,2100.97,2089.97,3289,0.4162,3165,0.5363,3116.337161,0.565948,3225.219827,0.41985
L_pl_b_4,S2,2,4,2089.95,2100.36,2100.97,2089.97,3289,0.4162,3165,0.5363,3116.337161,0.565948,3225.219827,0.41985
L_pl_b_5,S2,2,5,2089.95,2100.36,2100.97,2089.97,3289,0.4162,3165,0.5363,3116.337161,0.565948,3225.219827,0.41985
L_pl_b_6,S2,2,6,2089.95,2100.36,2100.97,2089.97,3289,0.4162,3165,0.5363,3116.337161,0.565948,3225.219827,0.41985
L_pl_b_7,S2,2,7,2089.95,2100.36,2100.97,2089.97,3289,0.4162,3165,0.5363,3116.337161,0.565948,3225.219827,0.41985
L_pl_b_8,S2,2,8,2089.95,2100.36,2100.97,2089.97,3289,0.4162,3165,0.5363,3116.337161,0.565948,3225.219827,0.41985
L_pl_b_9,S2,2,9,2089.95,2100.36,2100.97,2089.97,3289,0.4162,3165,0.5363,3116.337161,0.565948,3225.219827,0.41985
L_pl_e_1,S3,3,1,1859.11,1864.19,1860.01,1848.91,1665.211513,0.614394,1579.015947,0.686967,1566.539926,0.768571,1645.608748,0.832996
L_pl_e_2,S3,3,2,1859.11,1864.19,1860.01,1848.91,1665.211513,0.614394,1579.015947,0.686967,1566.539926,0.768571,1645.608748,0.832996
L_pl_e_3,S3,3,3,1859.11,1864.19,1860.01,1848.91,1665.211513,0.614394,1579.015947,0.686967,1566.539926,0.768571,1645.608748,0.832996
L_pl_e_4,S3,3,4,1859.11,1864.19,1860.01,1848.91,1665.211513,0.614394,1579.015947,0.686967,1566.539926,0.768571,1645.608748,0.832996
L_pl_e_5,S3,3,5,1859.11,1864.19,1860.01,1848.91,1665.211513,0.614394,1579.015947,0.686967,1566.539926,0.768571,1645.608748,0.832996
L_pl_e_6,S3,3,6,1859.11,1864.19,1860.01,1848.91,1665.211513,0.614394,1579.015947,0.686967,1566.539926,0.768571,1645.608748,0.832996
L_pl_e_7,S3,3,7,1859.11,1864.19,1860.01,1848.91,1665.211513,0.614394,1579.015947,0.686967,1566.539926,0.768571,1645.608748,0.832996
L_pl_e_8,S3,3,8,1859.11,1864.19,1860.01,1848.91,1665.211513,0.614394,1579.015947,0.686967,1566.539926,0.768571,1645.608748,0.832996
L_pl_e_9,S3,3,9,1859.11,1864.19,1860.01,1848.91,1665.211513,0.614394,1579.015947,0.686967,1566.539926,0.768571,1645.608748,0.832996
L_pt_a2_1,S4,4,1,592.19,595.85,595.58,591.58,5750,0.4005,5519,0.8356,5313.904427,1.026652,5624.842602,0.553029
L_pt_a2_2,S4,4,2,592.19,595.85,595.58,591.58,5750,0.4005,5519,0.8356,5313.904427,1.026652,5624.842602,0.553029
L_pt_a2_3,S4,4,3,592.19,595.85,595.58,591.58,5750,0.4005,5519,0.8356,5313.904427,1.026652,5624.842602,0.553029
L_pt_a3_1,S5,5,1,619.04,622.77,622.71,618.7,5372,0.3811,5170,0.8609,5046.659326,0.880859,5286.781791,0.923733
L_pt_a3_2,S5,5,2,619.04,622.77,622.71,618.7,5372,0.3811,5170,0.8609,5046.659326,0.880859,5286.781791,0.923733
L_pt_a3_3,S5,5,3,619.04,622.77,622.71,618.7,5372,0.3811,5170,0.8609,5046.659326,0.880859,5286.781791,0.923733
L_pt_a4_1,S6,6,1,614.83,618.79,618.26,614.38,5804,0.4269,5550,1.043,5350.004777,1.08274,5687.73804,0.404135
L_pt_a4_2,S6,6,2,614.83,618.79,618.26,614.38,5804,0.4269,5550,1.043,5350.004777,1.08274,5687.73804,0.404135
L_pt_a4_3,S6,6,3,614.83,618.79,618.26,614.38,5804,0.4269,5550,1.043,5350.004777,1.08274,5687.73804,0.404135
L_pt_b2_1,S7,7,1,381.59,383.91,383.64,381.52,5447,0.4508,5313,0.607,5270.619718,0.746196,5376.053898,2.168966
L_pt_b2_2,S7,7,2,381.59,383.91,383.64,381.52,5447,0.4508,5313,0.607,5270.619718,0.746196,5376.053898,2.168966
L_pt_e2_1,S8,8,1,370.4,372.65,372.51,370.3,3370,0.6298,3252,0.8499,3238.966638,0.924462,3361.174649,0.823361
L_pt_e2_2,S8,8,2,370.4,372.65,372.51,370.3,3370,0.6298,3252,0.8499,3238.966638,0.924462,3361.174649,0.823361
L_pt_e2_3,S8,8,3,370.4,372.65,372.51,370.3,3370,0.6298,3252,0.8499,3238.966638,0.924462,3361.174649,0.823361
L_pt_e3_1,S9,9,1,392.69,395.04,394.42,392.16,3622,0.3816,3494,0.7959,3496.006903,0.658781,3640.857381,1.575272
L_pt_e3_2,S9,9,2,392.69,395.04,394.42,392.16,3622,0.3816,3494,0.7959,3496.006903,0.658781,3640.857381,1.575272
L_pt_e3_3,S9,9,3,392.69,395.04,394.42,392.16,3622,0.3816,3494,0.7959,3496.006903,0.658781,3640.857381,1.575272
L_pt_e4_1,S10,10,1,344.41,346.52,346.01,343.84,3115,0.8322,2980.149804,0.966569,2954.945409,0.682226,3075.451996,1.295235
L_pt_e4_2,S10,10,2,344.41,346.52,346.01,343.84,3115,0.8322,2980.149804,0.966569,2954.945409,0.682226,3075.451996,1.295235
L_pt_e4_3,S10,10,3,344.41,346.52,346.01,343.84,3115,0.8322,2980.149804,0.966569,2954.945409,0.682226,3075.451996,1.295235
LG_pl_a_1,S30,30,1,3992.44,4018.93,4019.82,3995.74,3271,0.2937,3203,0.356,3191.232576,0.390951,3248.84396,0.230071
LG_pl_a_2,S30,30,2,3992.44,4018.93,4019.82,3995.74,3271,0.2937,3203,0.356,3191.232576,0.390951,3248.84396,0.230071
LG_pl_a_3,S30,30,3,3992.44,4018.93,4019.82,3995.74,3271,0.2937,3203,0.356,3191.232576,0.390951,3248.84396,0.230071
LG_pl_a_4,S30,30,4,3992.44,4018.93,4019.82,3995.74,3271,0.2937,3203,0.356,3191.232576,0.390951,3248.84396,0.230071
LG_pl_a_5,S30,30,5,3992.44,4018.93,4019.82,3995.74,3271,0.2937,3203,0.356,3191.232576,0.390951,3248.84396,0.230071
LG_pl_a_6,S30,30,6,3992.44,4018.93,4019.82,3995.74,3271,0.2937,3203,0.356,3191.232576,0.390951,3248.84396,0.230071
LG_pl_a_7,S30,30,7,3992.44,4018.93,4019.82,3995.74,3271,0.2937,3203,0.356,3191.232576,0.390951,3248.84396,0.230071
LG_pl_a_8,S30,30,8,3992.44,4018.93,4019.82,3995.74,3271,0.2937,3203,0.356,3191.232576,0.390951,3248.84396,0.230071
LG_pl_a_9,S30,30,9,3992.44,4018.93,4019.82,3995.74,3271,0.2937,3203,0.356,3191.232576,0.390951,3248.84396,0.230071
M_pl_a1_1,S11,11,1,2298.38,2309.98,2311.94,2299.8,2014.886014,0.524576,1955.555341,0.509436,1832.182301,0.82312,1861.886032,0.844448
M_pl_a1_2,S11,11,2,2298.38,2309.98,2311.94,2299.8,2014.886014,0.524576,1955.555341,0.509436,1832.182301,0.82312,1861.886032,0.844448
M_pl_a1_3,S11,11,3,2298.38,2309.98,2311.94,2299.8,2014.886014,0.524576,1955.555341,0.509436,1832.182301,0.82312,1861.886032,0.844448
M_pl_a1_4,S11,11,4,2298.38,2309.98,2311.94,2299.8,2014.886014,0.524576,1955.555341,0.509436,1832.182301,0.82312,1861.886032,0.844448
M_pl_a1_5,S11,11,5,2298.38,2309.98,2311.94,2299.8,2014.886014,0.524576,1955.555341,0.509436,1832.182301,0.82312,1861.886032,0.844448
M_pl_a1_6,S11,11,6,2298.38,2309.98,2311.94,2299.8,2014.886014,0.524576,1955.555341,0.509436,1832.182301,0.82312,1861.886032,0.844448
M_pl_a1_7,S11,11,7,2298.38,2309.98,2311.94,2299.8,2014.886014,0.524576,1955.555341,0.509436,1832.182301,0.82312,1861.886032,0.844448
M_pl_a1_8,S11,11,8,2298.38,2309.98,2311.94,2299.8,2014.886014,0.524576,1955.555341,0.509436,1832.182301,0.82312,1861.886032,0.844448
M_pl_a1_9,S11,11,9,2298.38,2309.98,2311.94,2299.8,2014.886014,0.524576,1955.555341,0.509436,1832.182301,0.82312,1861.886032,0.844448
M_pl_a2_1,S12,12,1,2291.54,2304.16,2301.02,2288.35,1531.468471,1.218534,1523.199245,1.825162,1395.845567,5.616028,1101.290582,5.592593
M_pl_a2_2,S12,12,2,2291.54,2304.16,2301.02,2288.35,1531.468471,1.218534,1523.199245,1.825162,1395.845567,5.616028,1101.290582,5.592593
M_pl_a2_3,S12,12,3,2291.54,2304.16,2301.02,2288.35,1531.468471,1.218534,1523.199245,1.825162,1395.845567,5.616028,1101.290582,5.592593
M_pl_a2_4,S12,12,4,2291.54,2304.16,2301.02,2288.35,1531.468471,1.218534,1523.199245,1.825162,1395.845567,5.616028,1101.290582,5.592593
M_pl_a2_5,S12,12,5,2291.54,2304.16,2301.02,2288.35,1531.468471,1.218534,1523.199245,1.825162,1395.845567,5.616028,1101.290582,5.592593
M_pl_a2_6,S12,12,6,2291.54,2304.16,2301.02,2288.35,1531.468471,1.218534,1523.199245,1.825162,1395.845567,5.616028,1101.290582,5.592593
M_pl_a2_7,S12,12,7,2291.54,2304.16,2301.02,2288.35,1531.468471,1.218534,1523.199245,1.825162,1395.845567,5.616028,1101.290582,5.592593
M_pl_a2_8,S12,12,8,2291.54,2304.16,2301.02,2288.35,1531.468471,1.218534,1523.199245,1.825162,1395.845567,5.616028,1101.290582,5.592593
M_pl_a2_9,S12,12,9,2291.54,2304.16,2301.02,2288.35,1531.468471,1.218534,1523.199245,1.825162,1395.845567,5.616028,1101.290582,5.592593
M_pl_b_1,S13,13,1,2362.45,2375.86,2376.4,2362.31,2060.244079,0.342073,2000.822838,0.42474,2005.202916,0.555311,2064.936877,0.866313
M_pl_b_2,S13,13,2,2362.45,2375.86,2376.4,2362.31,2060.244079,0.342073,2000.822838,0.42474,2005.202916,0.555311,2064.936877,0.866313
M_pl_b_3,S13,13,3,2362.45,2375.86,2376.4,2362.31,2060.244079,0.342073,2000.822838,0.42474,2005.202916,0.555311,2064.936877,0.866313
