Sample_name,Sample_number,Form,Geology,Damage class,RDEM_94,Q_94,rms_ini_1,rms_ini_2,rms_ini_3,rms_ini_4,rms_ini_5,rms_ini_6,rms_ini_7,rms_ini_8,rms_ini_9,centroid_ini_1,centroid_ini_2,centroid_ini_3,centroid_ini_4,centroid_ini_5,centroid_ini_6,centroid_ini_7,centroid_ini_8,centroid_ini_9,flatness_ini_1,flatness_ini_2,flatness_ini_3,flatness_ini_4,flatness_ini_5,flatness_ini_6,flatness_ini_7,flatness_ini_8,flatness_ini_9,rolloff_ini_1,rolloff_ini_2,rolloff_ini_3,rolloff_ini_4,rolloff_ini_5,rolloff_ini_6,rolloff_ini_7,rolloff_ini_8,rolloff_ini_9,contrast1_ini_1,contrast1_ini_2,contrast1_ini_3,contrast1_ini_4,contrast1_ini_5,contrast1_ini_6,contrast1_ini_7,contrast1_ini_8,contrast1_ini_9,contrast2_ini_1,contrast2_ini_2,contrast2_ini_3,contrast2_ini_4,contrast2_ini_5,contrast2_ini_6,contrast2_ini_7,contrast2_ini_8,contrast2_ini_9
S1,1,pl,L_pl_a,Resistant,0.93,49.13,0.12478732,0.1334769,0.111794665,0.12593485,0.13059843,0.11737721,0.10030688,0.1231873,0.102367945,3553.010287,3351.973454,3456.860314,3451.786023,3312.058991,3524.573819,3570.476494,3373.74173,3342.614927,0.059089318,0.063923836,0.09300642,0.06473219,0.08491716,0.09348528,0.049578626,0.04193786,0.02435662,7971.641791,8109.784411,8024.461028,8260.116086,8329.187396,8239.800995,7597.844113,8056.965174,7504.394693,42.30699013,40.83286248,40.24847238,41.18763457,38.09034636,34.78952513,34.23584095,41.50529965,37.29297802,23.2067838,21.93987583,22.28606935,21.37944197,20.93498842,20.64225478,23.77316208,21.89281144,25.22114
S2,2,pl,L_pl_b,Resistant,0.97,88.35,0.117464766,0.14257203,0.11014827,0.13759592,0.14018227,0.1314798,0.10921814,0.14653032,0.13354452,3455.360674,3631.302794,3494.264119,3607.961456,3626.815892,3752.05957,3476.244406,3665.697602,3476.077262,0.11544755,0.10381742,0.039441258,0.094144344,0.1538195,0.07409743,0.018400092,0.050052583,0.023333171,8162.603648,8333.250415,8052.902156,8227.61194,8353.565506,8361.691542,7630.348259,8158.54063,7638.474295,48.28168739,47.42606557,41.16174308,40.24026231,44.73101988,38.52732221,40.1645866,41.32492172,39.01125231,21.14320685,21.34302649,23.24097051,20.99676407,19.51997126,21.1686881,25.00684453,22.38062558,24.18208647
S3,3,pl,L_pl_e,Resistant,0.98,65.06,0.108190864,0.11929333,0.09208434,0.105621286,0.09915225,0.09278377,0.10520013,0.08543453,0.10158413,3406.371571,2802.840916,3571.163628,3350.858648,3447.239769,3645.108995,2873.684481,3323.155177,3488.668886,0.048696104,0.021520246,0.01471337,0.01628454,0.019885162,0.005764586,0.038057894,0.029747533,0.012703933,8138.225539,8016.334992,7065.588723,7540.961857,7829.436153,6439.883914,7967.578773,7926.94859,6825.870647,40.64909851,40.44351766,32.04103321,41.37247314,42.16222196,31.8217723,43.50681772,37.54574982,35.89942597,23.78685909,24.18341359,25.82161662,24.8896762,24.16863575,27.65923115,23.65759963,23.72417235,26.72003838
S4,4,pt,L_pt_a2,Resistant,0.93,48.7,0.10633063,0.10185131,0.11248627,,,,,,,5232.728847,5328.960329,5525.90001,,,,,,,0.33393717,0.25436905,0.19998798,,,,,,,8694.859038,8625.787728,8601.409619,,,,,,,34.91190646,37.43006127,37.28053375,,,,,,,17.8950415,18.935668,20.42723453,,,,,,
S5,5,pt,L_pt_a3,Resistant,0.95,56.76,0.11028633,0.10309485,0.109860376,,,,,,,5251.135445,5233.396781,5247.523017,,,,,,,0.18896545,0.07149519,0.062231563,,,,,,,8524.212272,8414.510779,8065.091211,,,,,,,38.5983401,30.52840568,34.44569882,,,,,,,18.94550915,22.1085232,22.22728484,,,,,,
S6,6,pt,L_pt_a4,Resistant,0.93,46.18,0.10375868,0.103327766,0.10397422,,,,,,,5540.09141,5595.044228,5618.824752,,,,,,,0.20507203,0.16935863,0.10991564,,,,,,,8581.094527,8532.338308,8414.510779,,,,,,,31.58469104,31.61956068,34.09291795,,,,,,,18.72079802,20.0803734,21.34606799,,,,,,
S7,7,pt,L_pt_b2,Resistant,0.98,67.01,0.13346201,0.12057205,,,,,,,,5314.499159,5328.427845,,,,,,,,0.12526281,0.038757782,,,,,,,,8499.834163,8008.208955,,,,,,,,37.82015807,35.50956137,,,,,,,,20.65592901,23.08564957,,,,,,,
S8,8,pt,L_pt_e2,Resistant,0.99,54.09,0.16010103,0.16177598,0.1457433,,,,,,,3617.754408,3429.359571,3770.36562,,,,,,,0.005992536,0.008303465,0.014885271,,,,,,,7536.898839,7971.641791,7870.066335,,,,,,,44.15052529,33.04738276,33.31960246,,,,,,,25.53705769,24.87263271,24.64821368,,,,,,
S9,9,pt,L_pt_e3,Resistant,1,75.9,0.13970959,0.14184372,0.13312836,,,,,,,3697.227688,3657.528499,3771.72994,,,,,,,0.028033312,0.013291119,0.019219607,,,,,,,8174.792703,7825.373134,7874.129353,,,,,,,38.02268063,30.9728303,30.77597585,,,,,,,23.5168328,24.77845136,23.49965564,,,,,,
S10,10,pt,L_pt_e4,Resistant,0.98,73.29,0.14466667,0.14063723,0.13104847,,,,,,,3261.555427,3157.624591,3575.447262,,,,,,,0.027494643,0.028082406,0.016971368,,,,,,,8036.650083,7975.704809,7906.633499,,,,,,,36.70948835,43.10444298,34.24448335,,,,,,,23.04774503,23.41694817,23.18309646,,,,,,
S11,11,pl,M_pl_a1,Uncertain,0.88,60.74,0.105715446,0.11238423,0.0964487,0.09704881,0.1198202,0.116438225,0.10540711,0.107402705,0.09489456,3794.941239,3161.033395,3770.125516,3852.489515,3017.875504,3334.006851,3670.262604,3307.098556,3429.68393,0.00976217,0.008474052,0.008012734,0.004903537,0.017828306,0.005556834,0.004856091,0.036241923,0.008611647,6748.6733,7471.890547,6622.719735,6533.333333,8081.343284,6964.013267,6066.086235,7955.389718,6537.396352,37.98367928,33.73442593,34.6028824,34.16995085,41.83037842,36.21946022,36.21955693,41.49453663,37.26509012,28.4444671,25.04865117,27.45681056,27.39052064,23.34500206,26.72644322,28.89475869,22.97965677,27.32660851
S12,12,pl,M_pl_a2,Uncertain,0.84,8.9,0.098188356,0.11225587,0.106359616,0.13063805,0.123704776,0.14195493,0.10275536,0.092876926,0.06715106,3320.26396,3138.654361,3098.113448,2832.682047,2911.252088,2676.670756,3186.927169,3077.523721,3483.253543,0.03685389,0.010946746,0.030514508,0.01593093,0.027236322,0.012114821,0.030704387,0.08314218,0.073069654,8117.910448,7890.381426,8365.754561,7719.73466,8186.981758,7857.87728,8077.280265,8264.179104,8036.650083,38.76249588,32.1149608,33.57714544,37.06752171,42.95495157,41.06662422,38.08886498,42.79985994,39.22447734,22.16243524,24.53050393,22.16116601,23.94832011,22.95663844,24.14831582,22.43323938,21.49858218,21.82296879
S13,13,pl,M_pl_b,Resistant,1,90.04,0.10661559,0.15154505,0.0938989,0.109217204,0.12693433,0.117587075,0.108274125,0.13583635,0.092060976,2775.528229,2871.246274,3620.892491,3480.755668,3175.409603,3319.419419,3198.400142,2909.432247,3382.774034,0.027742224,0.018656481,0.01173247,0.017054852,0.020331189,0.012655295,0.00858594,0.012256601,0.017181128,7979.767828,7987.893864,7020.895522,7764.427861,7849.751244,7622.222222,6817.74461,7662.852405,7284.991708,43.01667793,42.32137846,37.46346459,37.94987377,43.03122175,40.14101442,33.71548368,40.77898357,41.74031075,23.94547849,22.93179619,26.3357936,24.41407541,23.42992538,24.91239996,26.8794657,24.28281862,24.66279809
S14,14,pl,M_pl_c,Resistant,0.99,114.65,0.1163171,0.15648708,0.10818114,0.1476046,0.15768005,0.11948099,0.10922059,0.15681404,0.1225453,3824.018073,3697.32638,3651.100719,3727.952219,3775.906561,4262.4193,3906.492004,3690.187428,3502.441359,0.009980847,0.019362384,0.014738619,0.01212089,0.016325383,0.010919291,0.005211068,0.005773358,0.101392426,7378.441128,7857.87728,7622.222222,7756.301824,7906.633499,7601.907131,6748.6733,7557.21393,8239.800995,37.64238882,42.97069666,36.95629031,39.8566719,38.35697602,36.19178164,36.24081513,39.62489783,51.47735947,25.91631867,24.26353292,25.6407957,24.87137828,23.66562777,24.45386344,27.27007955,25.93624623,21.41435698
