Sample_name_simple,Origin,Form,geology,Sample_name,Sample_number,Sound_number,mass_ini,mass_0,mass_n,mass_end,f1_ini,a1_ini,f1_0,a1_0,f1_n,a1_n,f1_end,a1_end,sound_path_ini,rms_ini,centroid_ini,flatness_ini,rolloff_ini,contrast1_ini,contrast2_ini,RDEM,Q,Q0,dQ,D,D class
L_pl_a_1,L,pl,a,S1,1,1,3458.07,3481.07,3481.78,3460.54,2748,0.3712,2590,0.7269,2499.75603,1.017641,2664.80616,0.637452,./audio/raw_data_ampl_norm/L_pl_a_1_ini_ampl_norm.wav,0.12478732,4093.722416,0.059089318,7971.641791,42.30699013,23.2067838,0.931527587,49.1332405,68.78525244,0.71429905,0.07,Resistant
L_pl_a_2,L,pl,a,S1,1,2,3458.07,3481.07,3481.78,3460.54,2748,0.3712,2590,0.7269,2499.75603,1.017641,2664.80616,0.637452,./audio/raw_data_ampl_norm/L_pl_a_2_ini_ampl_norm.wav,0.1334769,4026.584477,0.063923836,8109.784411,40.83286248,21.93987583,0.931527587,49.1332405,68.78525244,0.71429905,0.07,Resistant
L_pl_a_3,L,pl,a,S1,1,3,3458.07,3481.07,3481.78,3460.54,2748,0.3712,2590,0.7269,2499.75603,1.017641,2664.80616,0.637452,./audio/raw_data_ampl_norm/L_pl_a_3_ini_ampl_norm.wav,0.111794665,3966.759258,0.09300642,8024.461028,40.24847238,22.28606935,0.931527587,49.1332405,68.78525244,0.71429905,0.07,Resistant
L_pl_a_4,L,pl,a,S1,1,4,3458.07,3481.07,3481.78,3460.54,2748,0.3712,2590,0.7269,2499.75603,1.017641,2664.80616,0.637452,./audio/raw_data_ampl_norm/L_pl_a_4_ini_ampl_norm.wav,0.12593485,4145.483575,0.06473219,8260.116086,41.18763457,21.37944197,0.931527587,49.1332405,68.78525244,0.71429905,0.07,Resistant
L_pl_a_5,L,pl,a,S1,1,5,3458.07,3481.07,3481.78,3460.54,2748,0.3712,2590,0.7269,2499.75603,1.017641,2664.80616,0.637452,./audio/raw_data_ampl_norm/L_pl_a_5_ini_ampl_norm.wav,0.13059843,4192.265865,0.08491716,8329.187396,38.09034636,20.93498842,0.931527587,49.1332405,68.78525244,0.71429905,0.07,Resistant
L_pl_a_6,L,pl,a,S1,1,6,3458.07,3481.07,3481.78,3460.54,2748,0.3712,2590,0.7269,2499.75603,1.017641,2664.80616,0.637452,./audio/raw_data_ampl_norm/L_pl_a_6_ini_ampl_norm.wav,0.11737721,4156.196349,0.09348528,8239.800995,34.78952513,20.64225478,0.931527587,49.1332405,68.78525244,0.71429905,0.07,Resistant
L_pl_a_7,L,pl,a,S1,1,7,3458.07,3481.07,3481.78,3460.54,2748,0.3712,2590,0.7269,2499.75603,1.017641,2664.80616,0.637452,./audio/raw_data_ampl_norm/L_pl_a_7_ini_ampl_norm.wav,0.10030688,3889.989575,0.049578626,7597.844113,34.23584095,23.77316208,0.931527587,49.1332405,68.78525244,0.71429905,0.07,Resistant
L_pl_a_8,L,pl,a,S1,1,8,3458.07,3481.07,3481.78,3460.54,2748,0.3712,2590,0.7269,2499.75603,1.017641,2664.80616,0.637452,./audio/raw_data_ampl_norm/L_pl_a_8_ini_ampl_norm.wav,0.1231873,4086.998143,0.04193786,8056.965174,41.50529965,21.89281144,0.931527587,49.1332405,68.78525244,0.71429905,0.07,Resistant
L_pl_a_9,L,pl,a,S1,1,9,3458.07,3481.07,3481.78,3460.54,2748,0.3712,2590,0.7269,2499.75603,1.017641,2664.80616,0.637452,./audio/raw_data_ampl_norm/L_pl_a_9_ini_ampl_norm.wav,0.102367945,3859.986218,0.02435662,7504.394693,37.29297802,25.22114,0.931527587,49.1332405,68.78525244,0.71429905,0.07,Resistant
L_pl_b_1,L,pl,b,S2,2,1,2089.95,2100.36,2100.97,2089.97,3289,0.4162,3165,0.5363,3116.337161,0.565948,3225.219827,0.41985,./audio/raw_data_ampl_norm/L_pl_b_1_ini_ampl_norm.wav,0.117464766,4111.042833,0.11544755,8162.603648,48.28168739,21.14320685,0.969485791,88.34733933,93.23140034,0.947613562,0.03,Resistant
L_pl_b_2,L,pl,b,S2,2,2,2089.95,2100.36,2100.97,2089.97,3289,0.4162,3165,0.5363,3116.337161,0.565948,3225.219827,0.41985,./audio/raw_data_ampl_norm/L_pl_b_2_ini_ampl_norm.wav,0.14257203,4230.005949,0.10381742,8333.250415,47.42606557,21.34302649,0.969485791,88.34733933,93.23140034,0.947613562,0.03,Resistant
L_pl_b_3,L,pl,b,S2,2,3,2089.95,2100.36,2100.97,2089.97,3289,0.4162,3165,0.5363,3116.337161,0.565948,3225.219827,0.41985,./audio/raw_data_ampl_norm/L_pl_b_3_ini_ampl_norm.wav,0.11014827,4149.172967,0.039441258,8052.902156,41.16174308,23.24097051,0.969485791,88.34733933,93.23140034,0.947613562,0.03,Resistant
L_pl_b_4,L,pl,b,S2,2,4,2089.95,2100.36,2100.97,2089.97,3289,0.4162,3165,0.5363,3116.337161,0.565948,3225.219827,0.41985,./audio/raw_data_ampl_norm/L_pl_b_4_ini_ampl_norm.wav,0.13759592,4158.453508,0.094144344,8227.61194,40.24026231,20.99676407,0.969485791,88.34733933,93.23140034,0.947613562,0.03,Resistant
L_pl_b_5,L,pl,b,S2,2,5,2089.95,2100.36,2100.97,2089.97,3289,0.4162,3165,0.5363,3116.337161,0.565948,3225.219827,0.41985,./audio/raw_data_ampl_norm/L_pl_b_5_ini_ampl_norm.wav,0.14018227,4198.259778,0.1538195,8353.565506,44.73101988,19.51997126,0.969485791,88.34733933,93.23140034,0.947613562,0.03,Resistant
L_pl_b_6,L,pl,b,S2,2,6,2089.95,2100.36,2100.97,2089.97,3289,0.4162,3165,0.5363,3116.337161,0.565948,3225.219827,0.41985,./audio/raw_data_ampl_norm/L_pl_b_6_ini_ampl_norm.wav,0.1314798,4239.856781,0.07409743,8361.691542,38.52732221,21.1686881,0.969485791,88.34733933,93.23140034,0.947613562,0.03,Resistant
L_pl_b_7,L,pl,b,S2,2,7,2089.95,2100.36,2100.97,2089.97,3289,0.4162,3165,0.5363,3116.337161,0.565948,3225.219827,0.41985,./audio/raw_data_ampl_norm/L_pl_b_7_ini_ampl_norm.wav,0.10921814,3957.730765,0.018400092,7630.348259,40.1645866,25.00684453,0.969485791,88.34733933,93.23140034,0.947613562,0.03,Resistant
L_pl_b_8,L,pl,b,S2,2,8,2089.95,2100.36,2100.97,2089.97,3289,0.4162,3165,0.5363,3116.337161,0.565948,3225.219827,0.41985,./audio/raw_data_ampl_norm/L_pl_b_8_ini_ampl_norm.wav,0.14653032,4149.222498,0.050052583,8158.54063,41.32492172,22.38062558,0.969485791,88.34733933,93.23140034,0.947613562,0.03,Resistant
L_pl_b_9,L,pl,b,S2,2,9,2089.95,2100.36,2100.97,2089.97,3289,0.4162,3165,0.5363,3116.337161,0.565948,3225.219827,0.41985,./audio/raw_data_ampl_norm/L_pl_b_9_ini_ampl_norm.wav,0.13354452,3990.930457,0.023333171,7638.474295,39.01125231,24.18208647,0.969485791,88.34733933,93.23140034,0.947613562,0.03,Resistant
L_pl_e_1,L,pl,e,S3,3,1,1859.11,1864.19,1860.01,1848.91,1665.211513,0.614394,1579.015947,0.686967,1566.539926,0.768571,1645.608748,0.832996,./audio/raw_data_ampl_norm/L_pl_e_1_ini_ampl_norm.wav,0.108190864,4073.925044,0.048696104,8138.225539,40.64909851,23.78685909,0.984260154,65.05579836,72.78369994,0.893823733,0.02,Resistant
L_pl_e_2,L,pl,e,S3,3,2,1859.11,1864.19,1860.01,1848.91,1665.211513,0.614394,1579.015947,0.686967,1566.539926,0.768571,1645.608748,0.832996,./audio/raw_data_ampl_norm/L_pl_e_2_ini_ampl_norm.wav,0.11929333,3833.245292,0.021520246,8016.334992,40.44351766,24.18341359,0.984260154,65.05579836,72.78369994,0.893823733,0.02,Resistant
